19RS314,"19 Ring Plastic Comb Binding - 1-1/2"" - Red",25,12.62,2017-02-22 21:42:00,19.49
19RS315,"19 Ring Plastic Comb Binding - 1-3/4"" - Red",51,6.84,2017-02-27 22:03:00,10.69
19RS316,"19 Ring Plastic Comb Binding - 2"" - Red",13,7.22,2017-02-22 21:42:00,11.49
19RS403,"19 Ring Plastic Comb Binding - 5/16"" - Navy",24,1.96,2017-03-03 22:04:38,3.25
19RS404,"19 Ring Plastic Comb Binding - 3/8"" - Navy",32,2.24,2017-02-03 22:26:56,3.73
19RS405,"19 Ring Plastic Comb Binding - 7/16"" - Navy",3,2.51,2017-03-03 22:04:38,4.18
19RS406,"19 Ring Plastic Comb Binding - 1/2"" - Navy",34,3.16,2017-03-03 22:04:38,4.97
19RS407,"19 Ring Plastic Comb Binding - 9/16"" - Navy",1,3.95,2017-01-13 18:44:52,6.12
19RS408,"19 Ring Plastic Comb Binding - 5/8"" - Navy",19,4.69,2017-03-17 18:17:07,7.68
19RS410,"19 Ring Plastic Comb Binding - 7/8"" - Navy",1,7.15,2017-01-13 18:44:52,10.19
19RS412,"19 Ring Plastic Comb Binding - 1-1/8"" - Navy",7,9.09,2017-01-13 18:44:52,15.59
19RS413,"19 Ring Plastic Comb Binding - 1-1/4"" - Navy",5,9.96,2017-01-13 18:44:52,17.79
19RS414,"19 Ring Plastic Comb Binding - 1-1/2"" - Navy",2,12.62,2017-01-13 18:44:52,19.49
19RS415,"19 Ring Plastic Comb Binding - 1-3/4"" - Navy",7,6.84,2017-01-13 18:44:52,10.69
19RS416,"19 Ring Plastic Comb Binding - 2"" - Navy",12,7.22,2017-01-13 18:44:52,11.49
19RS502,"19 Ring Plastic Comb Binding - 1/4"" - Maroon",35,1.64,2017-03-21 20:28:16,2.67
19RS503,"19 Ring Plastic Comb Binding - 5/16"" - Maroon",21,1.96,2017-02-10 21:41:46,3.25
19RS504,"19 Ring Plastic Comb Binding - 3/8"" - Maroon",1,2.32,2017-02-23 22:13:12,3.73
19RS505,"19 Ring Plastic Comb Binding - 7/16"" - Maroon",0,2.51,2017-03-21 20:28:16,4.18
19RS506,"19 Ring Plastic Comb Binding - 1/2"" - Maroon",14,3.16,2017-02-23 22:13:12,4.97
19RS507,"19 Ring Plastic Comb Binding - 9/16"" - Maroon",5,3.69,2017-01-13 18:44:52,6.12
19RS508,"19 Ring Plastic Comb Binding - 5/8"" - Maroon",1,4.92,2017-01-13 18:44:52,7.68
19RS509,"19 Ring Plastic Comb Binding - 3/4"" - Maroon",11,5.85,2017-01-13 18:44:52,8.79
19RS510,"19 Ring Plastic Comb Binding - 7/8"" - Maroon",2,6.78,2017-01-13 18:44:52,10.19
19RS511,"19 Ring Plastic Comb Binding - 1"" - Maroon",1,8.69,2017-01-13 18:44:52,12.39
19RS512,"19 Ring Plastic Comb Binding - 1-1/8"" - Maroon",20,9.09,2017-01-13 18:44:52,15.59
19RS513,"19 Ring Plastic Comb Binding - 1-1/4"" - Maroon",3,9.96,2017-01-13 18:44:52,17.79
19RS514,"19 Ring Plastic Comb Binding - 1-1/2"" - Maroon",2,12.62,2017-01-13 18:44:52,19.49
19RS515,"19 Ring Plastic Comb Binding - 1-3/4"" - Maroon",19,6.84,2017-01-13 18:44:52,10.69
19RS516,"19 Ring Plastic Comb Binding - 2"" - Maroon",20,7.22,2017-01-13 18:44:52,11.49
19RS602,"19 Ring Plastic Comb Binding - 5/16"" - Gray",1,2.24,2017-01-31 16:27:10,\N
19RS603,"19 Ring Plastic Comb Binding - 5/16"" - Gray",1,2.02,2017-01-10 20:33:51,\N
19RS605,"19 Ring Plastic Comb Binding - 7/16"" - Gray",19,3.44,2017-01-13 18:44:52,4.18
19RS607,"19 Ring Plastic Comb Binding - 9/16"" - Gray",4,4.12,2017-01-13 18:44:52,6.12
19RS608,"19 Ring Plastic Comb Binding - 5/8"" - Gray",10,4.87,2017-01-13 18:44:52,7.68
