228607,27219
228606,27218
228604,27217
228603,24883
228602,27216
228601,27215
228600,27135
228599,27121
228598,27214
228596,27132
228595,27213
228594,2027
228593,6305
228591,27210
228587,27209
228586,27208
228585,21933
228584,27180
228583,27207
228582,27206
228581,21146
228580,27205
228577,27204
228576,27203
228575,11615
228574,16981
228573,24496
228572,27202
228571,26641
228570,27201
228569,11736
228568,27200
228567,27199
228566,27197
228565,27196
228564,13488
228563,27194
228562,27195
228561,27193
228560,14454
228559,27191
228558,27192
228557,27189
228556,27186
228554,27190
228553,27188
228552,26977
228551,27187
228549,24408
228548,27185
228547,27154
228546,8472
228545,27169
228544,27184
228543,16328
228542,19496
228541,13862
228540,27183
228539,9495
228538,24728
228537,27182
228536,27181
228535,27180
228534,24355
228533,7938
228532,15710
228531,27179
228530,18242
228529,27178
228528,26965
228527,8196
228526,27177
228525,27176
228524,23139
228523,26644
228522,27175
228521,2027
228520,20009
228519,27174
228518,27173
228517,27172
228516,2027
228515,10061
228514,27171
228513,27170
228512,19036
228511,22613
228510,27168
228509,27167
228508,27166
228507,27165
228506,27164
228505,27163
228504,24516
228503,27162
228502,27161
228501,27160
228500,27159
228499,27158
228498,27157
228494,19229
228493,11752
228492,27153
228491,27155
228490,27154
228489,27152
228488,27151
228487,27150
228486,27149
228485,27145
228484,27148
228483,27147
228482,27146
228480,8678
228479,18054
228478,27136
228477,6589
228476,27144
228475,2671
228470,7902
228467,27141
228466,27140
228465,27137
228464,27139
228463,27135
228461,23386
228460,27134
228459,27133
228458,27132
228457,27131
228456,27090
228455,27130
228454,27129
228453,27128
228452,27127
228451,27126
228450,27125
228449,1162
228448,26228
228447,27121
228446,27123
228445,27122
228444,27120
228443,27119
228442,27118
228441,23148
228440,19288
228439,27117
228438,25620
228437,27116
228436,27115
228435,23108
228434,27114
228433,15517
228432,27112
228431,27113
228430,27110
228429,22074
228428,8534
228427,7988
228424,26111
228423,24515
228422,27107
228421,27106
228420,27105
228419,27104
228418,27102
228417,27101
228416,27100
228415,27099
228414,27098
228413,27097
228412,27096
228411,27095
228410,5030
228409,27094
228408,27093
228407,27092
228406,27091
228405,27090
228403,27089

