19RS016-S,2'' Black 19 Ring Plastic Comb,SOUTHWEST PLASTIC BINDING,,0,
19RS016-S,2'' Black 19 Ring Plastic Comb,Spiral Binding Co,,0,*
19RS102,1/4'' White 19 Ring Plastic Co,AKILES PRODUCTS INC,EP104WH,1.51,
19RS102,1/4'' White 19 Ring Plastic Co,SOUTHWEST PLASTIC BINDING,,1.51,
19RS102,1/4'' White 19 Ring Plastic Co,Spiral Binding Co,13014WHIT,1.92,*
19RS102,1/4'' White 19 Ring Plastic Co,TAMERICA PRODUCTS INC.,,1.64,
19RS103,5/16'' White 19 Ring Plastic C,AKILES PRODUCTS INC,EP516WH,1.84,
19RS103,5/16'' White 19 Ring Plastic C,SOUTHWEST PLASTIC BINDING,,1.83,
19RS103,5/16'' White 19 Ring Plastic C,Spiral Binding Co,13516WHIT,2.15,*
19RS104,3/8'' White 19 Ring Plastic Co,AKILES PRODUCTS INC,EP308WH,2.16,
19RS104,3/8'' White 19 Ring Plastic Co,SOUTHWEST PLASTIC BINDING,,2.14,
19RS104,3/8'' White 19 Ring Plastic Co,Spiral Binding Co,13038WHIT,2.32,*
19RS104,3/8'' White 19 Ring Plastic Co,TAMERICA PRODUCTS INC.,19RS104,2.24,
19RS105,7/16'' White 19 Ring Plastic C,AKILES PRODUCTS INC,EP716WH,2.38,
19RS105,7/16'' White 19 Ring Plastic C,SOUTHWEST PLASTIC BINDING,,2.73,
19RS105,7/16'' White 19 Ring Plastic C,Spiral Binding Co,13716WHIT,2.99,*
19RS106,1/2'' White 19 Ring Plastic Co,AKILES PRODUCTS INC,EP102WH,2.75,
19RS106,1/2'' White 19 Ring Plastic Co,SOUTHWEST PLASTIC BINDING,,3.17,
19RS106,1/2'' White 19 Ring Plastic Co,Spiral Binding Co,13012WHIT,3.18,*
19RS107,9/16'' White 19 Ring Plastic C,AKILES PRODUCTS INC,EP916WH,3.26,
19RS107,9/16'' White 19 Ring Plastic C,SOUTHWEST PLASTIC BINDING,,3.75,
19RS107,9/16'' White 19 Ring Plastic C,Spiral Binding Co,13916WHIT,3.95,*
19RS108,5/8'' White 19 Ring Plastic Co,AKILES PRODUCTS INC,EP508WH,4.1,
19RS108,5/8'' White 19 Ring Plastic Co,SOUTHWEST PLASTIC BINDING,,4.38,
