19RS507,5,3.69,"19 Ring Plastic Comb Binding - 9/16"" - Maroon"
19RS508,1,4.92,"19 Ring Plastic Comb Binding - 5/8"" - Maroon"
19RS509,11,5.85,"19 Ring Plastic Comb Binding - 3/4"" - Maroon"
19RS510,2,6.78,"19 Ring Plastic Comb Binding - 7/8"" - Maroon"
19RS511,1,8.69,"19 Ring Plastic Comb Binding - 1"" - Maroon"
19RS512,20,9.09,"19 Ring Plastic Comb Binding - 1-1/8"" - Maroon"
19RS513,3,9.96,"19 Ring Plastic Comb Binding - 1-1/4"" - Maroon"
19RS514,2,12.62,"19 Ring Plastic Comb Binding - 1-1/2"" - Maroon"
19RS515,19,6.84,"19 Ring Plastic Comb Binding - 1-3/4"" - Maroon"
19RS516,20,7.22,"19 Ring Plastic Comb Binding - 2"" - Maroon"
19RS602,2,2.24,"19 Ring Plastic Comb Binding - 5/16"" - Gray"
19RS603,1,2.02,"19 Ring Plastic Comb Binding - 5/16"" - Gray"
19RS605,19,3.44,"19 Ring Plastic Comb Binding - 7/16"" - Gray"
19RS607,4,4.12,"19 Ring Plastic Comb Binding - 9/16"" - Gray"
19RS608,10,4.87,"19 Ring Plastic Comb Binding - 5/8"" - Gray"
19RS609,6,5.99,"19 Ring Plastic Comb Binding - 3/4"" - Gray"
19RS610,15,6.99,"19 Ring Plastic Comb Binding - 3/4"" - Gray"
19RS611,1,8.3,"19 Ring Plastic Comb Binding - 3/4"" - Gray"
19RS612,4,5.17,"19 Ring Plastic Comb Binding - 3/4"" - Gray"
19RS613,4,11.45,"19 Ring Plastic Comb Binding - 3/4"" - Gray"
19RS614,4,12.15,"19 Ring Plastic Comb Binding - 3/4"" - Gray"
19RS615,7,5.08,"19 Ring Plastic Comb Binding - 3/4"" - Gray"
19RS616,1,14.5,"19 Ring Plastic Comb Binding - 3/4"" - Gray"
19RS702,12,1.64,"19 Ring Plastic Comb Binding - 1/4"" - Forest Green"
19RS703,22,1.96,"19 Ring Plastic Comb Binding - 5/16"" - Forest Green"
19RS704,15,2.24,"19 Ring Plastic Comb Binding - 3/8"" - Forest Green"
19RS705,3,2.99,"19 Ring Plastic Comb Binding - 7/16"" - Forest Green"
19RS706,2,3.16,"19 Ring Plastic Comb Binding - 1/2"" - Forest Green"
19RS707,2,3.95,"19 Ring Plastic Comb Binding - 9/16"" - Forest Green"
19RS709,5,5.85,"19 Ring Plastic Comb Binding - 3/4"" - Forest Green"
19RS710,2,7.15,"19 Ring Plastic Comb Binding - 7/8"" - Forest Green"
19RS711,6,8.69,"19 Ring Plastic Comb Binding - 1"" - Forest Green"
19RS712,11,9.09,"19 Ring Plastic Comb Binding - 1-1/8"" - Forest Green"
19RS714,3,12.62,"19 Ring Plastic Comb Binding - 1-1/2"" - Forest Green"
19RS715,32,6.84,"19 Ring Plastic Comb Binding - 1-3/4"" - Forest Green"
19RS716,7,7.22,"19 Ring Plastic Comb Binding - 2"" - Forest Green"
19RS802,27,1.64,"19 Ring Plastic Comb Binding - 1/4"" - Clear"
19RS803,1,1.96,"19 Ring Plastic Comb Binding - 5/16"" - Clear"
19RS804,4,2.24,"19 Ring Plastic Comb Binding - 3/8"" - Clear"
19RS805,5,2.51,"19 Ring Plastic Comb Binding - 7/16"" - Clear"
19RS806,2,3.18,"19 Ring Plastic Comb Binding - 1/2"" - Clear"
19RS807,13,3.69,"19 Ring Plastic Comb Binding - 9/16"" - Clear"
19RS808,9,4.69,"19 Ring Plastic Comb Binding - 5/8"" - Clear"
19RS809,6,5.85,"19 Ring Plastic Comb Binding - 3/4"" - Clear"
19RS810,52,6.78,"19 Ring Plastic Comb Binding - 7/8"" - Clear"
19RS811,15,8.69,"19 Ring Plastic Comb Binding - 1"" - Clear"
19RS812,10,9.09,"19 Ring Plastic Comb Binding - 1-1/8"" - Clear"
19RS813,10,9.96,"19 Ring Plastic Comb Binding - 1-1/4"" - Clear"
19RS814,11,12.62,"19 Ring Plastic Comb Binding - 1-1/2"" - Clear"
19RS815,4,6.84,"19 Ring Plastic Comb Binding - 1-3/4"" - Clear"
19RS816,1,7.22,"19 Ring Plastic Comb Binding - 2"" - Clear"
19RS9005,1,4.7,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 7/16"" - Black"
19RS9008,1,9.84,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 5/8"" - Black"
19RS9104,1,3.73,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 3/8"" - White"
19RS9112,4,10.46,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 1-1/8"" - White"
19RS9113,1,12.94,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 1-1/4"" - White"
19RS9209,1,0,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 3/4"" - Blue"
19RS9404,2,4.32,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 3/8"" - Navy"
19RS9409,2,9.32,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 3/4"" - Navy"
19RS9412,1,13.13,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 1-1/8"" - Navy"
19RS9509,1,0,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 2"" - Navy"
40PART-R1750EB,1,90,"GBC CombBind 19 Ring Plastic Comb Binding Spines - 2"" - Navy"
